merchant_id,kam,main_merchant_name,main_bl
63e3b86e066048e9c4344e2b,w/o KAM,,
642ad6887e66bc2091090c43,w/o KAM,,
1497881878700009222-15-11-709-1684470921,Yilia,,
600a8cb165469b0006d4730b,Chloe,,
5caffa3b28fc710b0196331c,Katya,,
61bc36d042cbb1d84d892c3f,Loria He,,
61b05f31903cf88d4eff3f57,Vadim,,
600e4085b04f440007c3b6a0,w/o KAM,,
1482217588208168831-90-11-26341-2408148238,w/o KAM,,
1505932731403448319-195-11-709-2426410575,w/o KAM,,
1518095746845237235-22-5-26193-2374591640,w/o KAM,,
5acfa4768b45130bb8de8e0f,w/o KAM,,
5ae2b1a18b2c370b99719b31,w/o KAM,,
5aec2b518b45130b850a023a,w/o KAM,,
5af56d918b2c370b2d35785b,w/o KAM,,
5b10f1128b45130bd0562bca,w/o KAM,,
5b889a4b1436d40b119ce199,w/o KAM,,
5be6f8c58b45130b5d386fd8,w/o KAM,,
5becb0178b45130bcb2176f7,w/o KAM,,
5becc7071436d40be1897730,w/o KAM,,
5bf4f91b8b45130b011fd1f8,w/o KAM,,
5c49c72e36b54d0b01bc37f1,w/o KAM,,
5c7a85be6ecda80b01d24443,w/o KAM,,
5c8c3f0a6ecda80b011dee1f,w/o KAM,,
5c9adc551436d40b01b1eca6,w/o KAM,,
5ca1b6c48b2c370b01e65b7f,w/o KAM,,
5d2553891436d40b014d9eac,w/o KAM,,
5d2f36766ecda80b01aa2d3c,w/o KAM,,
5e0724c328fc710b01fc8c6f,w/o KAM,,
5e0d86e636b54d0b019a0b64,w/o KAM,,
5ec49bce8b2c370b01efdca0,w/o KAM,,
5fd843d84fd8e600061a260f,w/o KAM,,
6045bec2cdc19c000646eeff,w/o KAM,,
604ef3047f87d60006c8b24c,w/o KAM,,
60a3c7dfbab0677a61d885c0,w/o KAM,,
60b647e6ac1dd0286653fd8d,w/o KAM,,
60ba3a24406cd09cb7913819,w/o KAM,,
60bc9cbe8f26571a77c4b987,w/o KAM,,
60c32bdd5b6d54ae69ce1e34,w/o KAM,,
60c69f9eb0a40f2fa4722fa4,w/o KAM,,
60d5901adea90a4eb1bcfb71,w/o KAM,,
610666b906471aa27e29cff6,w/o KAM,,
613494e68571aac36a7e1eb1,w/o KAM,,
613ac5b38a65cf4a74a871b9,w/o KAM,,
6160f36fc409f63cba8bc666,w/o KAM,,
616fdb559e02071c81ee68ea,w/o KAM,,
617688e86e234e30ea4e6fc7,w/o KAM,,
619f65822522010e45472737,w/o KAM,,
61ada41da94c8fe346acbcd5,w/o KAM,,
61c444cef1f68cbbd59498da,w/o KAM,,
61cda7fc53bb9e46c14c85d5,w/o KAM,,
61f683fbb77d12a20fa93294,w/o KAM,,
