campaign_id,campaign,medium,source,partner,app_device_type,campaign_platform,campaign_date_utc,clicks,spend
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-26,29,6.38
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-27,24,5.28
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-28,34,7.48
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-29,47,10.34
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-01,32,7.04
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-02,17,3.74
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-03,36,7.92
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-04,42,9.24
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-05,40,8.8
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-06,21,4.62
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-07,25,5.5
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-08,31,6.82
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-09,40,8.8
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-10,18,3.96
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-11,26,5.72
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-12,46,10.12
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-13,33,7.26
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-14,30,6.6
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-15,15,3.3
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-16,21,4.62
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-17,29,6.38
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-18,27,5.94
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-19,23,5.06
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-20,14,3.08
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-21,37,8.14
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-22,24,5.28
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-23,14,3.08
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-24,18,3.96
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-25,20,4.4
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-26,32,7.04
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-27,13,2.86
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-31,50,11
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-01,61,13.42
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-02,107,23.54
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-03,39,8.58
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-04,55,12.1
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-05,45,9.9
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-06,38,8.36
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-07,10,2.2
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-08,20,4.4
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-09,19,4.18
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-10,15,3.3
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-11,30,6.6
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-29,24,5.28
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-30,26,5.72
,apomio_feed_promo,,apomio,onfy,web,web,2024-03-31,10,2.2
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-01,20,4.4
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-02,23,5.06
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-03,29,6.38
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-04,26,5.72
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-05,34,7.48
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-06,23,5.06
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-07,16,3.52
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-08,24,5.28
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-09,15,3.3
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-10,14,3.08
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-11,15,3.3
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-12,20,4.4
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-13,7,1.54
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-14,12,2.64
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-15,18,3.96
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-16,20,4.4
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-17,31,6.82
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-18,22,4.84
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-19,15,3.3
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-20,15,3.3
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-21,29,6.38
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-22,63,13.86
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-23,25,5.5
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-24,32,7.04
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-25,40,8.8
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-26,31,6.82
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-27,25,5.5
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-28,48,10.56
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-29,84,18.48
,apomio_feed_promo,,apomio,onfy,web,web,2024-04-30,40,8.8
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-01,31,6.82
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-02,46,10.12
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-03,22,4.84
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-04,23,5.06
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-05,30,6.6
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-06,34,7.48
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-07,27,5.94
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-08,19,4.18
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-09,15,3.3
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-10,36,7.92
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-11,11,2.42
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-12,471,103.62
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-13,27,5.94
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-14,25,5.5
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-15,30,6.6
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-16,22,4.84
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-17,22,4.84
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-18,29,6.38
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-19,18,3.96
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-20,27,5.94
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-21,30,6.6
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-22,18,3.96
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-23,30,6.6
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-24,27,5.94
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-25,14,3.08
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-26,18,3.96
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-27,23,5.06
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-28,15,3.3
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-29,14,3.08
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-30,21,4.62
,apomio_feed_promo,,apomio,onfy,web,web,2024-05-31,43,9.46
,apomio_feed_promo,,apomio,onfy,web,web,2024-06-01,20,4.4
,apomio_feed_promo,,apomio,onfy,web,web,2024-06-02,21,4.62
,apomio_feed_promo,,apomio,onfy,web,web,2024-06-03,22,4.84
,apomio_feed_promo,,apomio,onfy,web,web,2024-06-04,29,6.38
,apomio_feed_promo,,apomio,onfy,web,web,2024-06-05,24,5.28
